,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital
0,AL BADA',333,1984700.5385,7946.07017526,25.225314485137428,55.26876791959561,13
1,CORNICHE DEIRA,121,870784.242915,5165.84244281,25.287165198538126,55.31795849261025,11
2,AL KHWANEEJ SECOND,282,12694068.2779,14582.3515084,25.230697292837977,55.52122196129359,0
3,AL SAFA FIRST,353,2430428.562,6705.66287921,25.17569041910985,55.238309272451104,15
4,NAZWAH,736,13058825.2473,15567.139691299999,25.024015384919156,55.64657367563999,0
5,AL RASHIDIYA,216,4840781.4835,10171.5698877,25.22410313277338,55.3916478221596,5
6,AL QOUZ THIRD,358,2423039.425,6233.69927577,25.159822040443157,55.241396668366015,13
7,NADD AL SHIBA SECOND,615,7486459.441000001,11383.6411366,25.159072824790503,55.34775263831915,4
8,AL QOUZ FIRST,354,3571186.69661,7680.81990859,25.168533005001546,55.25346460436119,12
9,JABAL ALI INDUSTRIAL THIRD,516,30005970.4003,22793.0909015,24.92075970931224,55.05716138638825,0
10,AL QUSAIS THIRD,234,2258170.4695,6194.42444522,25.261675429732232,55.40029352938297,3
11,AL KARAMA,318,2106964.37598,6088.77399116,25.24497982690331,55.30471995120672,42
12,AL LESAILY,931,112688806.315,41997.2953644,24.91857519840954,55.44470040156468,1
13,WORLD ISLANDS,303,74099957.5171,32221.3504001,25.22992131774482,55.160585674900204,0
14,AL BARAHA,122,1025324.6945,4621.82652981,25.281167868610755,55.3195487180341,12
15,HOR AL ANZ,127,1750611.051,5474.30599264,25.276910894112806,55.3367821954872,18
16,RIGGAT AL BUTEEN,125,806583.6038800001,4027.39778405,25.258670218090238,55.31917927869336,45
17,AL WOHOOSH,727,26514742.7549,20781.795767099997,25.11862295874434,55.62329665240532,0
18,AL TTAY,284,3294483.57255,12793.4547802,25.238229521568414,55.54546189773858,0
19,AL WUHEIDA,132,1432349.2119999998,4851.15617495,25.291073026157047,55.336863233514954,12
20,AL QUSAIS IND. FOURTH,247,727747.056,3551.17537594,25.29351412605136,55.40028348576715,6
21,AL ROWAIYAH FIRST,812,11490135.9469,16051.719675,25.126032959813763,55.43126730213949,0
22,RAS AL KHOR IND. FIRST,612,2645376.794,6662.084786,25.17775968115693,55.33866975183402,2
23,AL FAGAA,945,140532310.506,64809.924646800006,24.73440662747079,55.55226029641804,0
24,AL MAMZAR,134,5798825.86231,19110.862253400002,25.302069837270366,55.3490920489699,11
25,ABU HAIL,126,1273818.633,4637.54198399,25.28543748420701,55.329340660025814,10
26,MUHAISANAH FOURTH,245,2323827.2415,6776.960211300001,25.279124573727607,55.40894343207997,4
27,AL QUSAIS IND. THIRD,246,925051.672642,4908.53400469,25.297894027826004,55.389347231579706,7
28,MIRDIF,251,9350317.47587,12975.6480441,25.22296403623005,55.4218526266515,5
29,AL SAFA SECOND,357,1892794.5565,5986.16903086,25.159577629522552,55.22543412044793,14
30,AL TWAR FIRST,226,2563983.9655,7385.43737699,25.271602422213803,55.36286357146612,15
31,AL TWAR SECOND,227,1110878.3395,4566.490443399999,25.26141690350875,55.38191977891579,7
32,AL HEBIAH FIRST,674,4176691.0287,8305.54742589,25.04687362448803,55.23756738382698,3
33,MUHAISNAH FIRST,261,4973393.311000001,9272.09210084,25.244437087412482,55.41711299408254,5
34,AL HUDAIBA,322,882341.245,4265.57638551,25.242551333888894,55.27917268125226,19
35,LEHBAB FIRST,731,34653078.9574,24244.6217879,25.059722055099005,55.60839214373789,0
36,UMM ESELAY,847,35161166.3898,26547.1832778,24.86608368501615,55.59839342929889,0
37,NAIF,118,747248.209,3795.1749341,25.272188796036144,55.3102201109891,18
38,HESSYAN FIRST,511,23846527.606,24601.2216786,24.95659212885005,55.0213282216751,0
39,WARSAN THIRD,811,10441916.8509,15457.628060299998,25.152845776580747,55.46361845119055,0
40,OUD AL MUTEENA SECOND,266,2426490.143,6192.19181398,25.264136016176835,55.464280221327094,2
41,AL SABKHA,115,73089.6975235,1397.45141963,25.269250288342427,55.30227890921035,19
42,MADINAT AL MATAAR,521,141835173.57299998,49060.5322731,24.90563693456137,55.15445662727495,0
43,UMM RAMOOL,215,3646885.8155,7916.000112999999,25.23021001986388,55.368244115872116,5
44,ALEYAS,283,10519148.5736,13392.0095017,25.21097947878715,55.53734573944228,0
45,AL QOUZ IND.FOURTH,369,4689056.9365,8718.60800086,25.116064362470656,55.23313467247366,4
46,AL KIFAF,324,795645.972999,4051.71075523,25.23442687328821,55.29699494362937,43
47,AL NAHDA FIRST,231,1696333.8623600001,7263.66566496,25.29015944157323,55.36426152433569,13
48,AL RIGGA,119,654291.39101,3702.84455002,25.26695014795661,55.310716227939814,20
49,UMM AL SHEIF,367,1847928.47344,5469.96326248,25.13136563746466,55.20449973712785,6
50,AYAL NASIR,116,173100.0775,1686.75970564,25.274221658311586,55.303951755243226,13
51,LEHBAB SECOND,831,62307557.0067,39399.834321300004,25.027683651157915,55.56188494252486,0
52,MANKHOOL,317,1960287.9319999998,5810.5450137,25.249051047302352,55.294919143063744,37
53,WADI AL SAFA 6,664,7811939.7189,13382.279683399998,25.051177997118288,55.2717241415596,4
54,AL MERYAL,735,15458746.5814,17454.2439879,25.070311906414,55.645756361452754,0
55,AL ROWAIYAH SECOND,813,7485660.499739999,11694.680450799999,25.105291961139503,55.39808446614008,1
56,AL YALAYIS 2,922,14349077.2492,16427.2421787,24.997130709029147,55.2901316086453,0
57,AL QUSAIS IND. FIRST,242,1437921.9045,5287.92130151,25.28668888290523,55.386574853717,8
58,HESSYAN SECOND,512,51898450.1316,41905.7022796,24.93162186177311,54.94820308454422,0
59,HOR AL ANZ EAST,133,1377275.1565,4804.76205035,25.282602238762852,55.347374526209094,16
60,AL CORNICHE,111,611325.1339029999,3960.31529984,25.277837157981683,55.30255685689298,11
61,WADI AL SAFA 3,645,30192055.8013,29186.4146517,25.10811460152823,55.31549372007481,0
62,AL QOUZ IND.THIRD,368,4402947.392,8766.27347181,25.125754536447676,55.21798387584786,6
63,SAIH AL DAHAL,971,190161473.462,68235.0122663,24.736513821938814,55.420800784145214,0
64,NADD AL SHIBA FOURTH,617,6169341.6421,10239.581805,25.136203182072805,55.36420889065845,1
65,WADI AL SAFA 2,643,10531420.0915,13742.5327314,25.10044847275232,55.35289987571095,0
66,HATTA,891,128751709.74200001,53110.4733717,24.81021325439707,56.13918037702839,1
67,UMM SUQEIM THIRD,366,2605935.23264,8209.10763688,25.138900227682253,55.193551716589425,5
68,GRAYTEESAH,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954,0
69,AL QOUZ SECOND,355,5324591.09775,9575.22812838,25.150970364664346,55.271131354242286,1
70,AL YALAYIS 3,923,12340311.9043,16043.272398899999,24.97341888812417,55.34571461438204,0
71,AL WAJEHA AL BAHRIAH,502,124735324.01,49534.3111447,24.989467989214358,54.90485047873428,0
72,YARAAH,861,76472908.38,37281.559311000005,24.764473462984448,55.67104849881567,0
73,OUD METHA,319,1515958.3365,5255.198421600001,25.23759763419334,55.312227103650386,42
74,MUHAISANAH THIRD,244,1753300.7565,5783.03483409,25.271802551224013,55.4042750072505,3
75,NADD HESSA,626,9804465.2285,13833.158974099999,25.124325353925425,55.386268264952506,0
