,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Arts & Entertainment,College & University,Event,Food,Nightlife Spot,Outdoors & Recreation,Professional & Other Places,Residence,Shop & Service,Travel & Transport,Cluster
0,AL BADA',333,1984700.5385,7946.07017526,25.225314485137428,55.26876791959561,52,19,4,248,100,113,160,34,168,84,0
1,CORNICHE DEIRA,121,870784.242915,5165.84244281,25.287165198538126,55.31795849261025,22,8,4,103,30,65,76,14,76,109,2
2,AL KHWANEEJ SECOND,282,12694068.2779,14582.3515084,25.230697292837977,55.52122196129359,0,10,0,9,0,7,5,1,5,5,1
3,AL SAFA FIRST,353,2430428.562,6705.66287921,25.17569041910985,55.238309272451104,5,14,6,158,38,75,101,19,64,41,3
4,NAZWAH,736,13058825.2473,15567.139691299999,25.024015384919164,55.64657367563999,0,0,0,3,0,6,1,0,4,0,1
5,AL RASHIDIYA,216,4840781.4835,10171.5698877,25.22410313277338,55.391647822159605,12,9,0,111,10,41,66,0,69,43,3
6,AL QOUZ THIRD,358,2423039.425,6233.69927577,25.159822040443157,55.24139666836602,26,15,3,122,22,68,87,15,77,26,3
7,NADD AL SHIBA SECOND,615,7486459.4410000015,11383.6411366,25.159072824790503,55.34775263831915,3,3,1,5,1,7,27,1,10,6,1
8,AL QOUZ FIRST,354,3571186.69661,7680.81990859,25.168533005001546,55.25346460436119,5,15,5,123,44,70,109,38,53,55,3
9,JABAL ALI INDUSTRIAL THIRD,516,30005970.4003,22793.0909015,24.92075970931224,55.05716138638825,0,1,0,6,0,0,19,1,3,2,1
10,AL QUSAIS THIRD,234,2258170.4695,6194.42444522,25.261675429732232,55.40029352938297,3,16,0,96,7,32,62,12,45,37,3
11,AL KARAMA,318,2106964.37598,6088.77399116,25.24497982690331,55.30471995120672,54,26,4,217,91,89,163,20,143,157,0
12,AL LESAILY,931,112688806.315,41997.2953644,24.91857519840954,55.44470040156468,0,0,0,0,0,1,3,0,1,0,1
13,WORLD ISLANDS,303,74099957.5171,32221.3504001,25.22992131774482,55.160585674900204,1,1,0,5,0,0,7,1,1,1,1
14,AL BARAHA,122,1025324.6945,4621.82652981,25.281167868610755,55.319548718034106,28,9,4,130,39,72,99,16,112,128,2
15,HOR AL ANZ,127,1750611.051,5474.30599264,25.276910894112806,55.3367821954872,18,13,2,177,56,74,83,20,107,145,2
16,RIGGAT AL BUTEEN,125,806583.6038800002,4027.39778405,25.258670218090238,55.31917927869336,45,23,5,244,121,95,151,21,145,160,0
17,AL WOHOOSH,727,26514742.7549,20781.795767099997,25.11862295874434,55.62329665240532,0,0,0,1,0,2,1,0,0,1,1
18,AL TTAY,284,3294483.57255,12793.4547802,25.238229521568407,55.54546189773858,0,0,0,5,0,6,2,0,3,2,1
19,AL WUHEIDA,132,1432349.2119999996,4851.15617495,25.29107302615705,55.336863233514954,10,5,3,83,17,55,50,15,67,64,3
20,AL QUSAIS IND. FOURTH,247,727747.056,3551.17537594,25.29351412605136,55.40028348576715,3,14,0,72,9,28,49,17,55,26,3
21,AL ROWAIYAH FIRST,812,11490135.9469,16051.719675,25.12603295981377,55.43126730213949,5,24,0,25,2,3,37,4,14,4,1
22,RAS AL KHOR IND. FIRST,612,2645376.794,6662.084786,25.17775968115693,55.33866975183402,3,4,1,8,1,10,25,1,10,9,1
23,AL FAGAA,945,140532310.506,64809.92464680001,24.73440662747079,55.55226029641804,0,0,0,0,0,0,0,0,0,0,1
24,AL MAMZAR,134,5798825.86231,19110.862253400002,25.30206983727037,55.3490920489699,8,10,1,134,6,60,55,20,65,41,3
25,ABU HAIL,126,1273818.633,4637.54198399,25.28543748420701,55.329340660025814,14,8,2,110,35,72,83,19,82,121,2
