,CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon,Hospital,Sector,Pop2017,Pop2018,Pop2019,Pop2019density,PopGrowth19by18,PopGrowthbinned,PopDensitybinned,Counter,HF_per_Pop,HF_per_k_Pop
0,AL BADA',333,1984700.5385,7946.07017526,25.225314485137428,55.26876791959561,13,Sector 3,51467.0,54338.0,56734.0,28585.672699458482,4.409437226250512,2 < x <= 20,10k < x <= 50k,1,0.00022913949307293687,0.22913949307293685
1,CORNICHE DEIRA,121,870784.242915,5165.84244281,25.287165198538126,55.31795849261025,11,Sector 1,14.0,14.0,14.0,16.077461338912382,0.0,-2 < x <=2,10 < x <1000,1,0.7857142857142857,785.7142857142857
2,AL KHWANEEJ SECOND,282,12694068.2779,14582.3515084,25.230697292837977,55.52122196129359,0,Sector 2,2786.0,3865.0,4523.0,356.30815125474084,17.02457956015524,2 < x <= 20,10 < x <1000,1,0.0,0.0
3,AL SAFA FIRST,353,2430428.562,6705.66287921,25.17569041910985,55.238309272451104,15,Sector 3,7540.0,7893.0,8514.0,3503.085889096789,7.867730900798175,2 < x <= 20,1000 < x <= 10k,1,0.0017618040873854828,1.7618040873854828
4,NAZWAH,736,13058825.2473,15567.1396913,25.024015384919164,55.64657367563999,0,Sector 7,450.0,504.0,544.0,41.657652177593505,7.93650793650793,2 < x <= 20,10 < x <1000,1,0.0,0.0
5,AL RASHIDIYA,216,4840781.4835,10171.5698877,25.22410313277338,55.391647822159605,5,Sector 2,33719.0,34594.0,37167.0,7677.8925317503445,7.437705960571206,2 < x <= 20,1000 < x <= 10k,1,0.00013452794145343987,0.13452794145343988
6,AL QOUZ THIRD,358,2423039.425,6233.69927577,25.159822040443157,55.24139666836602,13,Sector 3,40525.0,40541.0,40553.0,16736.417732864582,0.0295996645371277,-2 < x <=2,10k < x <= 50k,1,0.0003205681453899835,0.32056814538998346
7,NADD AL SHIBA SECOND,615,7486459.4410000015,11383.6411366,25.159072824790503,55.34775263831915,4,Sector 6,2175.0,2258.0,2389.0,319.10945605562387,5.801594331266612,2 < x <= 20,10 < x <1000,1,0.0016743407283382169,1.6743407283382168
8,AL QOUZ FIRST,354,3571186.69661,7680.81990859,25.168533005001546,55.25346460436119,12,Sector 3,15665.0,18845.0,20154.0,5643.502205900205,6.946139559564867,2 < x <= 20,1000 < x <= 10k,1,0.0005954153021732659,0.5954153021732659
9,JABAL ALI INDUSTRIAL THIRD,516,30005970.4003,22793.0909015,24.92075970931224,55.05716138638825,0,Sector 5,2462.0,2462.0,2462.0,82.05033755466829,0.0,-2 < x <=2,10 < x <1000,1,0.0,0.0
10,AL QUSAIS THIRD,234,2258170.4695,6194.42444522,25.261675429732232,55.40029352938297,3,Sector 2,6480.0,6812.0,7162.0,3171.594038950389,5.137991779213147,2 < x <= 20,1000 < x <= 10k,1,0.0004188774085450991,0.41887740854509914
11,AL KARAMA,318,2106964.37598,6088.77399116,25.24497982690331,55.30471995120672,42,Sector 3,69095.0,70558.0,75066.0,35627.560131426035,6.389069984976902,2 < x <= 20,10k < x <= 50k,1,0.0005595076332827112,0.5595076332827112
12,AL LESAILY,931,112688806.315,41997.2953644,24.91857519840954,55.44470040156468,1,Sector 9,2514.0,2633.0,2856.0,25.34413215822518,8.469426509684762,2 < x <= 20,10 < x <1000,1,0.00035014005602240897,0.35014005602240894
13,WORLD ISLANDS,303,74099957.5171,32221.3504001,25.22992131774482,55.160585674900204,0,Sector 3,4.0,7.0,7.0,0.09446699073187206,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
14,AL BARAHA,122,1025324.6945,4621.82652981,25.281167868610755,55.319548718034106,12,Sector 1,23838.0,24373.0,24747.0,24135.769022970704,1.5344848808107379,-2 < x <=2,10k < x <= 50k,1,0.0004849072614862408,0.48490726148624075
15,HOR AL ANZ,127,1750611.051,5474.30599264,25.276910894112806,55.3367821954872,18,Sector 1,79735.0,81741.0,83187.0,47518.83632431153,1.7690020919734373,-2 < x <=2,10k < x <= 50k,1,0.00021637996321540625,0.21637996321540626
16,RIGGAT AL BUTEEN,125,806583.6038800002,4027.39778405,25.258670218090238,55.31917927869336,45,Sector 1,6690.0,6984.0,7120.0,8827.355237262276,1.9473081328751365,-2 < x <=2,1000 < x <= 10k,1,0.006320224719101123,6.320224719101123
17,AL WOHOOSH,727,26514742.7549,20781.7957671,25.11862295874434,55.62329665240532,0,Sector 7,45.0,46.0,46.0,1.7348838880022348,0.0,-2 < x <=2,0< x <= 10 ,1,0.0,0.0
18,AL TTAY,284,3294483.57255,12793.4547802,25.238229521568407,55.54546189773858,0,Sector 2,805.0,805.0,810.0,245.86554528576468,0.6211180124223503,-2 < x <=2,10 < x <1000,1,0.0,0.0
