CNAME_E,COMM_NUM,SHAPE_AREA,SHAPE_LEN,lat,lon
AL BADA',333,1984700.5385,7946.07017526,25.22531448513743,55.26876791959562
CORNICHE DEIRA,121,870784.242915,5165.84244281,25.287165198538126,55.317958492610266
AL KHWANEEJ SECOND,282,12694068.2779,14582.3515084,25.230697292837977,55.52122196129359
AL SAFA FIRST,353,2430428.562,6705.66287921,25.17569041910985,55.23830927245111
NAZWAH,736,13058825.2473,15567.1396913,25.024015384919153,55.646573675639985
AL RASHIDIYA,216,4840781.4835,10171.5698877,25.22410313277338,55.39164782215959
AL QOUZ THIRD,358,2423039.425,6233.69927577,25.159822040443157,55.24139666836601
NADD AL SHIBA SECOND,615,7486459.441,11383.6411366,25.159072824790503,55.34775263831915
AL QOUZ FIRST,354,3571186.69661,7680.81990859,25.168533005001542,55.25346460436119
JABAL ALI INDUSTRIAL THIRD,516,30005970.4003,22793.0909015,24.92075970931224,55.057161386388245
AL QUSAIS THIRD,234,2258170.4695,6194.42444522,25.26167542973223,55.40029352938297
AL KARAMA,318,2106964.37598,6088.77399116,25.24497982690331,55.30471995120672
AL LESAILY,931,112688806.315,41997.2953644,24.91857519840954,55.44470040156469
WORLD ISLANDS,303,74099957.5171,32221.3504001,25.229921317744825,55.160585674900204
AL BARAHA,122,1025324.6945,4621.82652981,25.281167868610755,55.319548718034085
HOR AL ANZ,127,1750611.051,5474.30599264,25.27691089411281,55.336782195487196
RIGGAT AL BUTEEN,125,806583.60388,4027.39778405,25.25867021809024,55.319179278693355
AL WOHOOSH,727,26514742.7549,20781.7957671,25.11862295874434,55.623296652405315
AL TTAY,284,3294483.57255,12793.4547802,25.238229521568417,55.54546189773858
AL WUHEIDA,132,1432349.212,4851.15617495,25.291073026157044,55.336863233514954
AL QUSAIS IND. FOURTH,247,727747.056,3551.17537594,25.293514126051356,55.40028348576715
AL ROWAIYAH FIRST,812,11490135.9469,16051.719675,25.12603295981376,55.43126730213949
RAS AL KHOR IND. FIRST,612,2645376.794,6662.084786,25.17775968115693,55.33866975183402
AL FAGAA,945,140532310.506,64809.9246468,24.73440662747079,55.55226029641804
AL MAMZAR,134,5798825.86231,19110.8622534,25.302069837270363,55.3490920489699
ABU HAIL,126,1273818.633,4637.54198399,25.28543748420701,55.32934066002581
MUHAISANAH FOURTH,245,2323827.2415,6776.9602113,25.279124573727604,55.40894343207997
AL QUSAIS IND. THIRD,246,925051.672642,4908.53400469,25.297894027826004,55.389347231579706
MIRDIF,251,9350317.47587,12975.6480441,25.22296403623005,55.421852626651486
AL SAFA SECOND,357,1892794.5565,5986.16903086,25.159577629522555,55.22543412044793
AL TWAR FIRST,226,2563983.9655,7385.43737699,25.271602422213796,55.36286357146612
AL TWAR SECOND,227,1110878.3395,4566.4904434,25.26141690350875,55.381919778915794
AL HEBIAH FIRST,674,4176691.0287,8305.54742589,25.04687362448803,55.23756738382698
MUHAISNAH FIRST,261,4973393.311,9272.09210084,25.24443708741248,55.41711299408254
AL HUDAIBA,322,882341.245,4265.57638551,25.242551333888898,55.27917268125226
LEHBAB FIRST,731,34653078.9574,24244.6217879,25.059722055099005,55.60839214373789
UMM ESELAY,847,35161166.3898,26547.1832778,24.866083685016147,55.59839342929888
NAIF,118,747248.209,3795.1749341,25.272188796036144,55.3102201109891
HESSYAN FIRST,511,23846527.606,24601.2216786,24.95659212885005,55.0213282216751
WARSAN THIRD,811,10441916.8509,15457.6280603,25.152845776580747,55.46361845119055
OUD AL MUTEENA SECOND,266,2426490.143,6192.19181398,25.264136016176835,55.46428022132709
AL SABKHA,115,73089.6975235,1397.45141963,25.26925028834243,55.30227890921034
MADINAT AL MATAAR,521,141835173.573,49060.5322731,24.90563693456137,55.154456627274946
UMM RAMOOL,215,3646885.8155,7916.000113,25.230210019863875,55.368244115872116
ALEYAS,283,10519148.5736,13392.0095017,25.21097947878715,55.53734573944228
AL QOUZ IND.FOURTH,369,4689056.9365,8718.60800086,25.116064362470656,55.23313467247366
AL KIFAF,324,795645.972999,4051.71075523,25.23442687328821,55.296994943629365
AL NAHDA FIRST,231,1696333.86236,7263.66566496,25.29015944157323,55.36426152433569
AL RIGGA,119,654291.39101,3702.84455002,25.266950147956614,55.310716227939814
UMM AL SHEIF,367,1847928.47344,5469.96326248,25.13136563746466,55.20449973712784
AYAL NASIR,116,173100.0775,1686.75970564,25.274221658311582,55.30395175524323
LEHBAB SECOND,831,62307557.0067,39399.8343213,25.027683651157915,55.561884942524856
MANKHOOL,317,1960287.932,5810.5450137,25.24905104730235,55.294919143063744
WADI AL SAFA 6,664,7811939.7189,13382.2796834,25.05117799711829,55.271724141559595
AL MERYAL,735,15458746.5814,17454.2439879,25.070311906414,55.645756361452754
AL ROWAIYAH SECOND,813,7485660.49974,11694.6804508,25.105291961139503,55.398084466140084
AL YALAYIS 2,922,14349077.2492,16427.2421787,24.997130709029143,55.2901316086453
AL QUSAIS IND. FIRST,242,1437921.9045,5287.92130151,25.286688882905228,55.386574853717
HESSYAN SECOND,512,51898450.1316,41905.7022796,24.93162186177311,54.94820308454422
HOR AL ANZ EAST,133,1377275.1565,4804.76205035,25.28260223876285,55.3473745262091
AL CORNICHE,111,611325.133903,3960.31529984,25.277837157981683,55.30255685689298
WADI AL SAFA 3,645,30192055.8013,29186.4146517,25.108114601528232,55.31549372007481
AL QOUZ IND.THIRD,368,4402947.392,8766.27347181,25.125754536447673,55.217983875847864
SAIH AL DAHAL,971,190161473.462,68235.0122663,24.736513821938818,55.42080078414521
NADD AL SHIBA FOURTH,617,6169341.6421,10239.581805,25.136203182072812,55.364208890658446
WADI AL SAFA 2,643,10531420.0915,13742.5327314,25.100448472752316,55.35289987571095
HATTA,891,128751709.742,53110.4733717,24.81021325439707,56.13918037702839
UMM SUQEIM THIRD,366,2605935.23264,8209.10763688,25.138900227682253,55.19355171658942
GRAYTEESAH,941,91826478.8812,41094.5229103,24.855344455914864,55.514949491449954
AL QOUZ SECOND,355,5324591.09775,9575.22812838,25.150970364664342,55.271131354242286
AL YALAYIS 3,923,12340311.9043,16043.2723989,24.97341888812417,55.34571461438204
AL WAJEHA AL BAHRIAH,502,124735324.01,49534.3111447,24.98946798921436,54.90485047873428
YARAAH,861,76472908.38,37281.559311,24.764473462984444,55.671048498815665
OUD METHA,319,1515958.3365,5255.1984216,25.23759763419334,55.31222710365039
MUHAISANAH THIRD,244,1753300.7565,5783.03483409,25.271802551224006,55.4042750072505
NADD HESSA,626,9804465.2285,13833.1589741,25.124325353925425,55.38626826495251
JUMEIRA BAY,302,990538.921262,8026.36895076,25.215839919611913,55.23358222609772
WARSAN FIRST,621,8426532.67816,11420.0158654,25.16521045611041,55.409833079665184
AL HEBIAH FOURTH,682,9145533.76673,12792.8661567,25.03189846521757,55.21960996296431
AL THANYAH THIRD,388,3842456.33894,8778.52119434,25.08513046900491,55.16612470037834
AL THANYAH SECOND,384,6228059.32645,10798.3735952,25.08009547881921,55.190708337052286
SAIH SHUAIB 3,532,16041464.7557,17134.5960552,24.84614962643613,55.07807342495038
AL HEBIAH SECOND,675,3261042.68008,7575.23809192,25.034834501723246,55.245752008937046
UMM SUQEIM SECOND,362,3190130.12461,9506.62161332,25.15139263453343,55.202828794612195
OUD AL MUTEENA THIRD,268,1369803.48,5370.23639675,25.274573445375786,55.44841835507439
AL HATHMAH,956,82256581.7113,35222.9690834,24.80412849850516,55.44939930841297
UMM AL DAMAN,824,35222549.9119,25862.296833,25.060217958940257,55.457434891708196
AL O'SHOOSH,975,58948906.1738,34673.3107507,24.67757782168623,55.35049871778347
AL LAYAN 2,988,36997664.9578,24917.1345591,24.75023684629854,55.156202043629264
AL NAHDA SECOND,241,2211570.57,5984.62489457,25.290805442303103,55.37774308206059
WADI AL SAFA 4,646,6854488.88007,12609.9513807,25.076772059343114,55.31787605928043
SAIH SHUA'ALAH,978,69543181.4311,36734.7572076,24.660478587907477,55.42137392809671
AL GARHOUD,214,4042863.618,9214.88108067,25.242470543994227,55.35037842810525
MUGATRAH,981,139912555.95,49720.1863631,24.797000892740137,55.213667928101515
ENKHALI,724,44497971.6994,26462.9437086,25.11220185565201,55.568331777022316
AL THANYAH  FOURTH,394,11078799.9249,15108.0888646,25.063030477174053,55.17395787530367
NADD AL SHIBA THIRD,616,6320420.2495,9742.20627617,25.154375235249734,55.37566462903919
JUMEIRA THIRD,352,3442745.18036,9482.04390321,25.182763965846906,55.228870771511254
UMM SUQEIM FIRST,356,2813891.33122,7381.07465803,25.16599016097945,55.2162509166806
AL HAMRIYA,313,827901.660864,3797.76473153,25.260410111688564,55.30372630220169
AL YUFRAH 4,919,11784792.769,14299.1045949,24.96644174983876,55.389729975082275
AL JAFILIYA,323,1669479.4215,5220.96603607,25.23763458919583,55.28685117633988
AL WARQA'A SECOND,422,3563435.0165,7438.39297234,25.20285815125784,55.40894495970106
AL QUSAIS IND. SECOND,243,1728332.8155,6052.3652815,25.281653928751663,55.393184181446514
HEFAIR,991,143566502.005,51721.2111825,24.69323690908779,55.249139518765375
